chrom	pos	depth
20	4571403	1
20	4571404	1
20	4571405	1
20	4571406	1
20	4571407	1
20	4571408	1
20	4578192	1
20	4578193	1
20	4578194	1
20	4578195	1
20	4578196	1
20	4578197	1
20	4578198	1
20	4578199	1
20	4578200	1
20	4578201	1
20	4578202	1
20	4578203	1
20	4578204	1
20	4578205	1
20	4578206	1
20	4578207	1
20	4578208	1
20	4578209	1
20	4578210	1
20	4578211	1
20	4578212	1
20	4578213	1
20	4578214	1
20	4578215	1
20	4578216	1
20	4578217	1
20	4578218	1
20	4578219	1
20	4578220	1
20	4578221	1
20	4578222	1
20	4578223	1
20	4578224	1
20	4578225	1
20	4578226	1
20	4578227	1
20	4578228	1
20	4578229	1
20	4578230	1
20	4578231	1
20	4578232	1
20	4578233	1
20	4578234	1
20	4578235	1
20	4578236	1
20	4578237	1
20	4578238	1
20	4578239	1
20	4578240	1
20	4578241	1
20	4578242	1
20	4578243	1
20	4578244	1
20	4578245	1
20	4578246	1
20	4578247	1
20	4578248	1
20	4578249	1
20	4578250	1
20	4578251	1
20	4578252	1
20	4578253	1
20	4578254	1
20	4578255	1
20	4578256	1
20	4578257	1
20	4578258	1
20	4578259	1
20	4578260	1
20	4578261	1
20	4578262	1
20	4578263	1
20	4578264	1
20	4578265	1
20	4578266	1
20	4578267	1
20	4578268	1
20	4578269	1
20	4578270	1
20	4578271	1
20	4578272	1
20	4578273	1
20	4578274	1
20	4578275	1
20	4578276	1
20	4578277	1
20	4578278	1
20	4578279	1
20	4578280	1
20	4578281	1
20	4578282	1
20	4578283	1
20	4578284	1
20	4578285	1
20	4578286	1
20	4578287	1
20	4578288	1
20	4578289	1
20	4578290	1
20	4578291	1
20	4578292	1
20	4578293	1
20	4578294	1
20	4578295	1
20	4578296	1
20	4578297	1
20	4578298	1
20	4578299	1
20	4578300	1
20	4578301	1
20	4578302	1
20	4578303	1
20	4578304	1
20	4578305	1
20	4578306	1
20	4578307	1
20	4578308	1
20	4578309	1
20	4578310	1
20	4578311	1
20	4578312	1
20	4578313	1
20	4578314	1
20	4578315	1
20	4578316	1
20	4578317	1
20	4578318	1
20	4578319	1
20	4578320	1
20	4578321	1
20	4578322	1
20	4578323	1
20	4578324	1
20	4578325	1
20	4578326	1
20	4578327	1
20	4578328	1
20	4578329	1
20	4578330	1
20	4578331	1
20	4578332	1
20	4578333	1
20	4578334	1
20	4578335	1
20	4578336	1
20	4579916	1
20	4579917	1
20	4579918	1
20	4579919	1
20	4579920	1
20	4579921	1
20	4579922	1
20	4579923	1
20	4579924	1
20	4579925	1
20	4579926	1
20	4579927	1
20	4579928	1
20	4579929	1
20	4579930	1
20	4579931	1
20	4579932	1
20	4579933	1
20	4579934	1
20	4579935	1
20	4579936	1
20	4579937	1
20	4579938	1
20	4579939	1
20	4579940	1
20	4579941	1
20	4579942	1
20	4579943	1
20	4579944	1
20	4579945	1
20	4579946	1
20	4579947	1
20	4579948	1
20	4579949	1
20	4579950	1
20	4579951	1
20	4579952	1
20	4579953	1
20	4579954	1
20	4579955	1
20	4579956	1
20	4579957	1
20	4579958	1
20	4579959	1
20	4579960	1
20	4579961	1
20	4579962	1
20	4579963	1
20	4579964	1
20	4579965	1
20	4579966	1
20	4579967	1
20	4579968	1
20	4579969	1
20	4579970	1
20	4579971	1
20	4579972	1
20	4579973	1
20	4579974	1
20	4579975	1
20	4579976	1
20	4579977	1
20	4579978	1
20	4579979	1
20	4579980	1
20	4579981	1
20	4579982	1
20	4579983	1
20	4579984	1
20	4579985	1
20	4579986	1
20	4579987	1
20	4579988	1
20	4579989	1
20	4579990	1
20	4579991	1
20	4579992	1
20	4579993	1
20	4579994	1
20	4579995	1
20	4579996	1
20	4579997	1
20	4579998	1
20	4579999	1
20	4580000	1
20	4580001	1
20	4580002	1
20	4580003	1
20	4580004	1
20	4580005	1
20	4580006	1
20	4580007	1
20	4580008	1
20	4580009	1
20	4580010	1
20	4580011	1
20	4580012	1
20	4580013	1
20	4580014	1
20	4580015	1
20	4580016	1
20	4580017	1
20	4580018	1
20	4580019	1
20	4580020	1
20	4580021	1
20	4580022	1
20	4580023	1
20	4580024	1
20	4580025	1
20	4580026	1
20	4580027	1
20	4580028	1
20	4580029	1
20	4580030	1
20	4580031	1
20	4580032	1
20	4580033	1
20	4580034	1
20	4580035	1
20	4580036	1
20	4580037	1
20	4580038	1
20	4580039	1
20	4580040	1
20	4580041	1
20	4580042	1
20	4580043	1
20	4580044	1
20	4580045	1
20	4580046	1
20	4580047	1
20	4580048	1
20	4580049	1
20	4580050	1
20	4580051	1
20	4592621	1
20	4592622	1
20	4592623	1
20	4592624	1
20	4592625	1
20	4592626	1
20	4592627	1
20	4592628	1
20	4592629	1
20	4592630	1
20	4592631	1
20	4592632	1
20	4592633	1
20	4592634	1
20	4592635	1
20	4592636	1
20	4592637	1
20	4592638	1
20	4592639	1
20	4592640	1
20	4592641	1
20	4592642	1
20	4592643	1
20	4592644	1
20	4592645	1
20	4592646	1
20	4592647	1
20	4592648	1
20	4592649	1
20	4592650	1
20	4592651	1
20	4592652	1
20	4592653	1
20	4592654	1
20	4592655	1
20	4592656	1
20	4592657	1
20	4592658	1
20	4592659	1
20	4592660	1
20	4592661	1
20	4592662	1
20	4592663	1
20	4592664	1
20	4592665	1
20	4592666	1
20	4592667	1
20	4592668	1
20	4592669	1
20	4592670	1
20	4592671	1
20	4592672	1
20	4592673	1
20	4592674	1
20	4592675	1
20	4592676	1
20	4592677	1
20	4592678	1
20	4592679	1
20	4592680	1
20	4592681	1
20	4592682	1
20	4592683	1
20	4592684	1
20	4592685	1
20	4592686	1
20	4592687	1
20	4592688	1
20	4592689	1
20	4592690	1
20	4592691	1
20	4592692	1
20	4592693	1
20	4592694	1
20	4592695	1
20	4592696	1
20	4592697	1
20	4592698	1
20	4592699	1
20	4592700	1
20	4592701	1
20	4592702	1
20	4592703	1
20	4592704	1
20	4592705	1
20	4592706	1
20	4592707	1
20	4592708	1
20	4592709	1
20	4592710	1
20	4592711	1
20	4592712	1
20	4592713	1
20	4592714	1
20	4592715	1
20	4592716	1
20	4592717	1
20	4592718	1
20	4592719	1
20	4592720	1
20	4592721	1
20	4592722	1
20	4592723	1
20	4592724	1
20	4592725	1
20	4592726	1
20	4592727	1
20	4592728	1
20	4592729	1
20	4592730	1
20	4592731	1
20	4592732	1
20	4592733	1
20	4592734	1
20	4592735	1
20	4592736	1
20	4592737	1
20	4592738	1
20	4592739	1
20	4592740	1
20	4592741	1
20	4592742	1
20	4592743	1
20	4592744	1
20	4592745	1
20	4592746	1
20	4592747	1
20	4592748	1
20	4592749	1
20	4592750	1
20	4592751	1
20	4592752	1
20	4592753	1
20	4592754	1
20	4592755	1
20	4592756	1
20	4592757	1
20	4592875	1
20	4592876	1
20	4592877	1
20	4592878	1
20	4592879	1
20	4592880	1
20	4592881	1
20	4592882	1
20	4592883	1
20	4592884	1
20	4592885	1
20	4592886	1
20	4592887	1
20	4592888	1
20	4592889	1
20	4592890	1
20	4592891	1
20	4592892	1
20	4592893	1
20	4592894	1
20	4592895	1
20	4592896	1
20	4592897	1
20	4592898	1
20	4592899	1
20	4592900	1
20	4592901	1
20	4592902	1
20	4592903	1
20	4592904	1
20	4593425	1
20	4593426	1
20	4593427	1
20	4593428	1
20	4593429	1
20	4593430	1
20	4593431	1
20	4593432	1
20	4593433	1
20	4593434	1
20	4593435	1
20	4593436	1
20	4593437	1
20	4593438	1
20	4593439	1
20	4593440	1
20	4593441	1
20	4593442	1
20	4593443	1
20	4593444	1
20	4593445	1
20	4593446	1
20	4593447	1
20	4593448	1
20	4593449	1
20	4593450	1
20	4593451	1
20	4593452	1
20	4593453	1
20	4593454	1
20	4593455	1
20	4593456	1
20	4593457	1
20	4593458	1
20	4593459	1
20	4593460	1
20	4593461	1
20	4593462	1
20	4593463	1
20	4593464	1
20	4593465	1
20	4593466	1
20	4593467	1
20	4593468	1
20	4593469	1
20	4593470	1
20	4593471	1
20	4593472	1
20	4593473	1
20	4593474	1
20	4593475	1
20	4593476	1
20	4593477	1
20	4593478	1
20	4593479	1
20	4593480	1
20	4593481	1
20	4593482	1
20	4593483	1
20	4593484	1
20	4593485	1
20	4593486	1
20	4593487	1
20	4593488	1
20	4593489	1
20	4593490	1
20	4593491	1
20	4593492	1
20	4593493	2
20	4593494	2
20	4593495	2
20	4593496	2
20	4593497	2
20	4593498	2
20	4593499	2
20	4593500	2
20	4593501	2
20	4593502	2
20	4593503	2
20	4593504	2
20	4593505	2
20	4593506	2
20	4593507	2
20	4593508	2
20	4593509	2
20	4593510	2
20	4593511	2
20	4593512	2
20	4593513	2
20	4593514	2
20	4593515	2
20	4593516	2
20	4593517	2
20	4593518	2
20	4593519	2
20	4593520	2
20	4593521	2
20	4593522	2
20	4593523	2
20	4593524	2
20	4593525	2
20	4593526	2
20	4593527	2
20	4593528	2
20	4593529	2
20	4593530	2
20	4593531	2
20	4593532	2
20	4593533	2
20	4593534	2
20	4593535	2
20	4593536	2
20	4593537	2
20	4593538	2
20	4593539	2
20	4593540	2
20	4593541	2
20	4593542	2
20	4593543	2
20	4593544	2
20	4593545	2
20	4593546	2
20	4593547	2
20	4593548	2
20	4593549	2
20	4593550	2
20	4593551	2
20	4593552	2
20	4593553	2
20	4593554	2
20	4593555	2
20	4593556	2
20	4593557	2
20	4593558	2
20	4593559	2
20	4593560	2
20	4593561	2
20	4593562	2
20	4593563	2
20	4593564	1
20	4593565	1
20	4593566	1
20	4593567	1
20	4593568	1
20	4593569	1
20	4593570	1
20	4593571	1
20	4593572	1
20	4593573	1
20	4593574	1
20	4593575	1
20	4593576	1
20	4593577	1
20	4593578	1
20	4593579	1
20	4593580	1
20	4593581	1
20	4593582	1
20	4593583	1
20	4593584	1
20	4593585	1
20	4593586	1
20	4593587	1
20	4593588	1
20	4593589	1
20	4593590	1
20	4593591	1
20	4593592	1
20	4593593	1
20	4593594	1
20	4593595	1
20	4593596	1
20	4593597	1
20	4593598	1
20	4593599	1
20	4593600	1
20	4593601	1
20	4593602	1
20	4593603	1
20	4593604	1
20	4593605	1
20	4593606	1
20	4593607	1
20	4593608	1
20	4593609	1
20	4593610	1
20	4593611	1
20	4593612	1
20	4593613	1
20	4593614	1
20	4593615	1
20	4593616	1
20	4593617	1
20	4593618	1
20	4593619	1
20	4593620	1
20	4593621	1
20	4593622	1
20	4593623	1
20	4593624	1
20	4593625	1
20	4593626	1
20	4593627	1
20	4593628	1
20	4593629	1
20	4593630	1
20	4593631	1
20	4593632	1
20	4593633	1
20	4593634	1
20	4593635	1
20	4593744	1
20	4593745	1
20	4593746	1
20	4593747	1
20	4593748	1
20	4593749	1
20	4593750	1
20	4593751	1
20	4593752	1
20	4593753	1
20	4593754	1
20	4593755	1
20	4593756	1
20	4593757	1
20	4593758	1
20	4593759	1
20	4593760	1
20	4593761	1
20	4593762	1
20	4593763	1
20	4593764	1
20	4593765	1
20	4593766	1
20	4593767	1
20	4593768	1
20	4593769	1
20	4593770	1
20	4593771	1
20	4593772	1
20	4593773	1
20	4593774	1
20	4593775	1
20	4593776	1
20	4593777	1
20	4593778	1
20	4595008	1
20	4595009	1
20	4595010	1
20	4595011	1
20	4595012	1
20	4595013	1
20	4595014	1
20	4595015	1
20	4595016	1
20	4595017	1
20	4595018	1
20	4595019	1
20	4595020	1
20	4595021	1
20	4595022	1
20	4595023	1
20	4595024	1
20	4595025	1
20	4595026	1
20	4595027	1
20	4595028	1
20	4595029	1
20	4595030	1
20	4595031	1
20	4595032	1
20	4595033	1
20	4595034	1
20	4595035	1
20	4595036	1
20	4595037	1
20	4595038	1
20	4595039	1
20	4595074	1
20	4595075	1
20	4595076	1
20	4595077	1
20	4595078	1
20	4595079	1
20	4595080	1
20	4595081	1
20	4595082	1
20	4595083	1
20	4595084	1
20	4595085	1
20	4595086	1
20	4595087	1
20	4595088	1
20	4595089	1
20	4595090	1
20	4595091	1
20	4595092	1
20	4595093	1
20	4595094	1
20	4595095	1
20	4595096	1
20	4595097	1
20	4595098	1
20	4595099	1
20	4595100	1
20	4595101	1
20	4595102	1
20	4595103	1
20	4595104	1
20	4595105	1
20	4595106	1
20	4595107	1
20	4595108	1
20	4595109	1
20	4595110	1
20	4595111	1
20	4595112	1
20	4595113	1
20	4595114	1
20	4595115	1
20	4595116	1
20	4595117	1
20	4595118	1
20	4595119	1
20	4595120	1
20	4595121	1
20	4595122	1
20	4595123	1
20	4595124	1
20	4595125	1
20	4595126	1
20	4595127	1
20	4595128	1
20	4595129	1
20	4595130	1
20	4595131	1
20	4595132	1
20	4595133	1
20	4595134	1
20	4595135	1
20	4595136	1
20	4595137	1
20	4595138	1
20	4595139	1
20	4595140	1
20	4595141	1
20	4595142	1
20	4595143	1
20	4595144	1
20	4595145	1
20	4595146	1
20	4595147	1
20	4595148	1
20	4595149	1
20	4595150	1
20	4595151	1
20	4595152	1
20	4595153	1
20	4595154	1
20	4595155	1
20	4595156	1
20	4595157	1
20	4595158	1
20	4595159	1
20	4595160	1
20	4595161	1
20	4595162	1
20	4595163	1
20	4595164	1
20	4595165	1
20	4595166	1
20	4595167	1
20	4595168	1
20	4595169	1
20	4595170	1
20	4595171	1
20	4595172	1
20	4595173	1
20	4595174	1
20	4595175	1
20	4595176	1
20	4595177	1
20	4595178	1
20	4595179	1
20	4595180	1
20	4595181	1
20	4595182	1
20	4595183	1
20	4595184	1
20	4595185	1
20	4595186	1
20	4595187	1
20	4595188	1
20	4595189	1
20	4595190	1
20	4595191	1
20	4595192	1
20	4595193	1
20	4595194	1
20	4595195	1
20	4595196	1
20	4595197	1
20	4595198	1
20	4595199	1
20	4595200	1
20	4595201	1
20	4595202	1
20	4595203	1
20	4595204	1
20	4595205	1
20	4595206	1
20	4595207	1
20	4595208	1
20	4595209	1
20	4595210	1
20	4595211	1
20	4595212	1
20	4595213	1
20	4595214	1
20	4595215	1
20	4595216	1
20	4595217	1
20	4595218	1
20	4595219	1
20	4608620	1
20	4608621	1
20	4608622	1
20	4608623	1
20	4608624	1
20	4608625	1
20	4608626	1
20	4608627	1
20	4608628	1
20	4608629	1
20	4608630	1
20	4608631	1
20	4608632	1
20	4608633	1
20	4608634	1
20	4608635	1
20	4608636	1
20	4608637	1
20	4608638	1
20	4608639	1
20	4608640	1
20	4608641	1
20	4608642	1
20	4608643	1
20	4608644	1
20	4608645	1
20	4608646	1
20	4608647	1
20	4608648	1
20	4608649	1
20	4608650	1
20	4608651	1
20	4608652	1
20	4608653	1
20	4608654	1
20	4608655	1
20	4608656	1
20	4608657	1
20	4608658	1
20	4608659	1
20	4608660	1
20	4608661	1
20	4608662	1
20	4608663	1
20	4608664	1
20	4608665	1
20	4608666	1
20	4608667	1
20	4608668	1
20	4608669	1
20	4608670	1
20	4608671	1
20	4608672	1
20	4608673	1
20	4608674	1
20	4608675	1
20	4608676	1
20	4608677	1
20	4608678	1
20	4608679	1
20	4608680	1
20	4608681	1
20	4608682	1
20	4608683	1
20	4608684	1
20	4608685	1
20	4608686	1
20	4608687	1
20	4608688	1
20	4608689	1
20	4608690	1
20	4608691	1
20	4608692	1
20	4608693	1
20	4608694	1
20	4608695	1
20	4608696	1
20	4608697	1
20	4608698	1
20	4608699	1
20	4608700	1
20	4608701	1
20	4608702	1
20	4608703	1
20	4608704	1
20	4608705	1
20	4608706	1
20	4608707	1
20	4608708	1
20	4608709	1
20	4608710	1
20	4608711	1
20	4608712	1
20	4608713	1
20	4608714	1
20	4608715	1
20	4608716	1
20	4608717	1
20	4608718	1
20	4608719	1
20	4608720	1
20	4608721	1
20	4608722	1
20	4608723	1
20	4608724	1
20	4608725	1
20	4608726	1
20	4608727	1
20	4608728	1
20	4608729	1
20	4608730	1
20	4608731	1
20	4608732	1
20	4608733	1
20	4608734	1
20	4608735	1
20	4608736	1
20	4608737	1
20	4608738	1
20	4608739	1
20	4608740	1
20	4608741	1
20	4608742	1
20	4608743	1
20	4608744	1
20	4608745	1
20	4608746	1
20	4608747	1
20	4608748	1
20	4608749	1
20	4608750	1
20	4608751	1
20	4608752	1
20	4608753	1
20	4608754	1
20	4608755	1
20	4608756	1
20	4608757	1
20	4608758	1
20	4608759	1
20	4608760	1
20	4608761	1
20	4608762	1
20	4608763	1
20	4608764	1
20	4608765	1
20	4608766	1
20	4608767	1
20	4608768	1
20	4608769	1
20	4608770	1
20	4608771	1
20	4608772	1
20	4608773	1
20	4608774	1
20	4608775	1
20	4608776	1
20	4608777	1
20	4608778	1
20	4608779	1
20	4608780	1
20	4608781	1
20	4608782	1
20	4608783	1
20	4608784	1
20	4608785	1
20	4608786	1
20	4608787	1
20	4608788	1
20	4608789	1
20	4608790	1
20	4608791	1
20	4608792	1
20	4608793	1
20	4608794	1
20	4608795	1
20	4608796	1
20	4608797	1
20	4608798	1
20	4608799	1
20	4608800	1
20	4608801	1
20	4608802	1
20	4608803	1
20	4611743	1
20	4611744	1
20	4611745	1
20	4611746	1
20	4611747	1
20	4611748	1
20	4611749	1
20	4611750	1
20	4611751	1
20	4611752	1
20	4611753	1
20	4611754	1
20	4611755	1
20	4611756	1
20	4611757	1
20	4611758	1
20	4611759	1
20	4611760	1
20	4611761	1
20	4611762	1
20	4611763	1
20	4611764	1
20	4611765	1
20	4611766	1
20	4611767	1
20	4611768	1
20	4611769	1
20	4611770	1
20	4611771	1
20	4611772	1
20	4611773	1
20	4611774	1
20	4611775	1
20	4611776	1
20	4611777	1
20	4611778	1
20	4611779	1
20	4611780	1
20	4611781	1
20	4611782	1
20	4611783	1
20	4611784	1
20	4611785	1
20	4611786	1
20	4611787	1
20	4611788	1
20	4611789	1
20	4611790	1
20	4611791	1
20	4611792	1
20	4611793	1
20	4611794	1
20	4611795	1
20	4611796	1
20	4611797	1
20	4611798	1
20	4611799	1
20	4611800	1
20	4611801	1
20	4611802	1
20	4611803	1
20	4611804	1
20	4611805	1
20	4611806	1
20	4611807	1
20	4611808	1
20	4611809	1
20	4611810	1
20	4611811	1
20	4611812	1
20	4611813	1
20	4611814	1
20	4611815	1
20	4611816	1
20	4611817	1
20	4611818	1
20	4611819	1
20	4611820	2
20	4611821	2
20	4611822	2
20	4611823	2
20	4611824	2
20	4611825	2
20	4611826	2
20	4611827	2
20	4611828	2
20	4611829	2
20	4611830	2
20	4611831	2
20	4611832	2
20	4611833	2
20	4611834	2
20	4611835	2
20	4611836	2
20	4611837	2
20	4611838	2
20	4611839	2
20	4611840	2
20	4611841	2
20	4611842	2
20	4611843	2
20	4611844	2
20	4611845	2
20	4611846	2
20	4611847	2
20	4611848	2
20	4611849	2
20	4611850	2
20	4611851	2
20	4611852	2
20	4611853	2
20	4611854	2
20	4611855	2
20	4611856	2
20	4611857	2
20	4611858	2
20	4611859	2
20	4611860	2
20	4611861	2
20	4611862	2
20	4611863	2
20	4611864	2
20	4611865	2
20	4611866	1
20	4611867	1
20	4611868	1
20	4611869	1
20	4611870	1
20	4611871	1
20	4611872	1
20	4611873	1
20	4611874	1
20	4611875	1
20	4611876	1
20	4611877	1
20	4611878	1
20	4611879	1
20	4611880	1
20	4611881	1
20	4611882	1
20	4611883	1
20	4611884	1
20	4611885	1
20	4611886	1
20	4611887	1
20	4611888	1
20	4611889	1
20	4611890	1
20	4611891	1
20	4611892	1
20	4611893	1
20	4611894	1
20	4611895	1
20	4611896	1
20	4611897	1
20	4611898	1
20	4611899	1
20	4611900	1
20	4611901	1
20	4611902	1
20	4611903	1
20	4611904	1
20	4611905	1
20	4611906	1
20	4611907	1
20	4611908	1
20	4611909	1
20	4611910	1
20	4611911	1
20	4611912	1
20	4611913	1
20	4611914	1
20	4611915	1
20	4611916	1
20	4611917	1
20	4611918	1
20	4611919	1
20	4611920	1
20	4611921	1
20	4611922	1
20	4611923	1
20	4611924	1
20	4611925	1
20	4611926	1
20	4611927	1
20	4611928	1
20	4611929	1
20	4611930	1
20	4611931	1
20	4611932	1
20	4611933	1
20	4611934	1
20	4611935	1
20	4611936	1
20	4611937	1
20	4611938	1
20	4611939	1
20	4611940	1
20	4611941	1
20	4611942	1
20	4611943	1
20	4611944	1
20	4611945	1
20	4611946	1
20	4611947	1
20	4611948	1
20	4611949	1
20	4611950	1
20	4611951	1
20	4611952	1
20	4611953	1
20	4611954	1
20	4611955	1
20	4611956	1
20	4611957	1
20	4611958	1
20	4611959	1
20	4611960	1
20	4611961	1
20	4611962	1
20	4611963	1
20	4611964	1
20	4611965	1
20	4631599	1
20	4631600	1
20	4631601	1
20	4631602	1
20	4631603	1
20	4631604	1
20	4631605	1
20	4631606	1
20	4631607	1
20	4631608	1
20	4631609	1
20	4631610	1
20	4631611	1
20	4631612	1
20	4631613	1
20	4631614	1
20	4631615	1
20	4631616	1
20	4631617	1
20	4631618	1
20	4631619	1
20	4631620	1
20	4631621	1
20	4631622	1
20	4631623	1
20	4631624	1
20	4631625	1
20	4631626	1
20	4631627	1
20	4631628	1
20	4631629	1
20	4631630	1
20	4631631	1
20	4631632	1
20	4631633	1
20	4631634	1
20	4631635	1
20	4631636	1
20	4631637	1
20	4631638	1
20	4631639	1
20	4631640	1
20	4631641	1
20	4631642	1
20	4631643	1
20	4631644	1
20	4631645	1
20	4631646	1
20	4631647	1
20	4631648	1
20	4631649	1
20	4631650	1
20	4631651	1
20	4631652	1
20	4631653	1
20	4631654	1
20	4631655	1
20	4631656	1
20	4631657	1
20	4631658	1
20	4631659	1
20	4631660	1
20	4631661	1
20	4631662	1
20	4631663	1
20	4631664	1
20	4631665	1
20	4631666	1
20	4631667	1
20	4631668	1
20	4631669	1
20	4631670	1
20	4631671	1
20	4631672	1
20	4631673	1
20	4631674	1
20	4631675	1
20	4631676	1
20	4631677	1
20	4631678	1
20	4631679	1
20	4631680	1
20	4631681	1
20	4631682	1
20	4631683	1
20	4631684	1
20	4631685	1
20	4631686	1
20	4631687	1
20	4631688	1
20	4631689	1
20	4631690	1
20	4631691	1
20	4631692	1
20	4631693	1
20	4631694	1
20	4631695	1
20	4631696	1
20	4631697	1
20	4631698	1
20	4631699	1
20	4631700	1
20	4631701	1
20	4631702	1
20	4631703	1
20	4631704	1
20	4631705	1
20	4631706	1
20	4631707	1
20	4631708	1
20	4631709	1
20	4631710	1
20	4631711	1
20	4631712	1
20	4631713	1
20	4631714	1
20	4631715	1
20	4631716	1
20	4631717	1
20	4631718	1
20	4631719	1
20	4631720	1
20	4631721	1
20	4631722	1
20	4631723	1
20	4631724	1
20	4631725	1
20	4631726	1
20	4631727	1
20	4631728	1
20	4631729	1
20	4631730	1
20	4631731	1
20	4631732	1
20	4631733	1
20	4631734	1
20	4631735	1
20	4631736	1
20	4631737	1
20	4631738	1
20	4631739	1
20	4631740	1
20	4631741	1
20	4631742	1
20	4631743	1
20	4631744	1
20	4631745	1
20	4631746	1
20	4631747	1
20	4631748	1
20	4631749	1
20	4631750	1
20	4631751	1
20	4631752	1
20	4631753	1
20	4631754	1
20	4631755	1
20	4631756	1
20	4631757	1
20	4631758	1
20	4631759	1
20	4631760	1
20	4631761	1
20	4631762	1
20	4631763	1
20	4631764	1
20	4631765	1
20	4631766	1
20	4631767	1
20	4636471	1
20	4636472	1
20	4636473	1
20	4636474	1
20	4636475	1
20	4636476	1
20	4636477	1
20	4636478	1
20	4636479	1
20	4636480	1
20	4636481	1
20	4636482	1
20	4636483	1
20	4636484	1
20	4636485	1
20	4636486	1
20	4636487	1
20	4636488	1
20	4636489	1
20	4636490	1
20	4636491	1
20	4636492	1
20	4636493	1
20	4636494	1
20	4636495	1
20	4636496	1
20	4636497	1
20	4636498	1
20	4636499	1
20	4636500	1
20	4636501	1
20	4636502	1
20	4636503	1
20	4636504	1
20	4636505	1
20	4636506	1
20	4636507	1
20	4636508	1
20	4636509	1
20	4636510	1
20	4636511	1
20	4636512	1
20	4636513	1
20	4636514	1
20	4636515	1
20	4636516	1
20	4636517	1
20	4636518	1
20	4636519	1
20	4636520	1
20	4636521	1
20	4637546	1
20	4637547	1
20	4637548	1
20	4637549	1
20	4637550	1
20	4637551	1
20	4637552	1
20	4637553	1
20	4637554	1
20	4637555	1
20	4637556	1
20	4637557	1
20	4637558	1
20	4637559	1
20	4637560	1
20	4637561	1
20	4637562	1
20	4637563	1
20	4637564	1
20	4637565	1
20	4637566	1
20	4637567	1
20	4637568	1
20	4637569	1
20	4637570	1
20	4637571	1
20	4637572	1
20	4637573	1
20	4637574	1
20	4637575	1
20	4637576	1
20	4637577	1
20	4637578	1
20	4637579	1
20	4637580	1
20	4637581	1
20	4637582	1
20	4637583	1
20	4637584	1
20	4637585	1
20	4637586	1
20	4637587	1
20	4637588	1
20	4637589	1
20	4637590	1
20	4637591	1
20	4637592	1
20	4637593	1
20	4637594	1
20	4637595	1
20	4637596	1
20	4637597	1
20	4637598	1
20	4637599	1
20	4637600	1
20	4637601	1
20	4637602	1
20	4637603	1
20	4637604	1
20	4637605	1
20	4637606	1
20	4637607	1
20	4637608	1
20	4637609	1
20	4637610	1
20	4637611	1
20	4637612	1
